,stock,463d-daily-flow,463-day-flow,463-day-sf
27.04.2020,18348950.0,1850.0809935205184,856587.5,21.42098734805259
28.04.2020,18350875.0,1850.188984881209,856637.5,21.421984211524713
29.04.2020,18352687.5,1850.5939524838013,856825.0,21.41941178186911
30.04.2020,18354375.0,1850.2969762419007,856687.5,21.424819435325016
01.05.2020,18356137.5,1849.730021598272,856425.0,21.433444259567388
02.05.2020,18357987.5,1850.0,856550.0,21.432476212713794
03.05.2020,18360087.5,1850.4859611231104,856775.0,21.429298824078668
04.05.2020,18362062.5,1851.0529157667386,857037.5,21.42503974446859
05.05.2020,18364037.5,1851.403887688985,857200.0,21.423282197853478
06.05.2020,18365962.5,1851.6198704103672,857300.0,21.423028694739298
07.05.2020,18367800.0,1851.916846652268,857437.5,21.421736278154384
08.05.2020,18369512.5,1851.4308855291574,857212.5,21.429356781428176
09.05.2020,18371212.5,1850.8369330453565,856937.5,21.438217489606885
10.05.2020,18373337.5,1851.5388768898486,857262.5,21.432568787273443
11.05.2020,18375150.0,1851.7278617710583,857350.0,21.432495480258936
12.05.2020,18376062.5,1849.730021598272,856425.0,21.456709577604578
13.05.2020,18376806.25,1847.3677105831534,855331.25,21.48501676981871
14.05.2020,18377518.75,1844.4789416846645,853993.75,21.519500289082913
15.05.2020,18378300.0,1841.4686825054,852600.0,21.555594651653767
16.05.2020,18379087.5,1838.7688984881208,851350.0,21.588168790744113
17.05.2020,18379725.0,1836.096112311015,850112.5,21.620344366186828
18.05.2020,18380525.0,1834.0442764578836,849162.5,21.64547421724346
19.05.2020,18381243.75,1831.6819654427645,848068.75,21.674237790273487
20.05.2020,18381962.5,1829.7786177105831,847187.5,21.697631870158613
21.05.2020,18382781.25,1827.4163066954645,846093.75,21.726648199445982
22.05.2020,18383475.0,1825.1079913606911,845025.0,21.75494807845922
23.05.2020,18384218.75,1823.285637149028,844181.25,21.77757294419889
24.05.2020,18384943.75,1820.801835853132,843031.25,21.808140267635395
25.05.2020,18385725.0,1818.1965442764574,841825.0,21.840317168057496
26.05.2020,18386500.0,1815.6857451403887,840662.5,21.871440679226204
27.05.2020,18387362.5,1813.3369330453565,839575.0,21.90079802280916
28.05.2020,18388181.25,1811.6225701943845,838781.25,21.92249916173019
29.05.2020,18388975.0,1810.097192224622,838075.0,21.94192047251141
30.05.2020,18389950.0,1807.829373650108,837025.0,21.97061019682805
31.05.2020,18390887.5,1805.9935205183585,836175.0,21.99406523753999
01.06.2020,18391725.0,1804.1036717062634,835300.0,22.018107266850233
02.06.2020,18392531.25,1801.9843412526998,834318.75,22.044969323774637
03.06.2020,18393400.0,1799.5140388768896,833175.0,22.07627449215351
04.06.2020,18394343.75,1797.7456803455725,832356.25,22.099123722564705
05.06.2020,18395462.5,1796.1123110151186,831600.0,22.120565776815777
06.06.2020,18396687.5,1794.3844492440603,830800.0,22.14334075589793
07.06.2020,18397681.25,1792.9670626349894,830143.75,22.162042718505077
08.06.2020,18398693.75,1791.2122030237579,829331.25,22.18497584650283
09.06.2020,18399693.75,1789.6733261339093,828618.75,22.205258751385966
10.06.2020,18400718.75,1787.8644708423324,827781.25,22.228962965759372
11.06.2020,18401875.0,1786.9060475161987,827337.5,22.242283227824196
12.06.2020,18402893.75,1785.2726781857452,826581.25,22.263865469970437
13.06.2020,18403881.25,1783.4638228941683,825743.75,22.287642201348785
14.06.2020,18404943.75,1782.0329373650106,825081.25,22.30682584290941
15.06.2020,18405806.25,1780.2240820734341,824243.75,22.330537841506228
16.06.2020,18406743.75,1778.4152267818577,823406.25,22.35438916087897
17.06.2020,18407606.25,1776.4173866090714,822481.25,22.380578584618192
18.06.2020,18408375.0,1774.4330453563714,821562.5,22.406542411563333
19.06.2020,18409268.75,1772.178725701944,820518.75,22.436134152936784
20.06.2020,18410125.0,1769.8974082073435,819462.5,22.46609820461583
21.06.2020,18411037.5,1767.4676025917927,818337.5,22.498098278522004
22.06.2020,18411931.25,1765.4562634989202,817406.25,22.524823183086745
23.06.2020,18412918.75,1763.2424406047517,816381.25,22.55431362491483
