,value
08/30/2013 00:00:00,1504462370
08/31/2013 00:00:00,1539512852
09/01/2013 00:00:00,1569723406
09/02/2013 00:00:00,1562291551
09/03/2013 00:00:00,1555292850
09/04/2013 00:00:00,1480205097
09/05/2013 00:00:00,1482864647
09/06/2013 00:00:00,1418691786
09/07/2013 00:00:00,1453268557
09/08/2013 00:00:00,1434687339
09/09/2013 00:00:00,1475448434
09/10/2013 00:00:00,1480997293
09/11/2013 00:00:00,1539588994
09/12/2013 00:00:00,1533389225
09/13/2013 00:00:00,1544172685
09/14/2013 00:00:00,1510465310
09/15/2013 00:00:00,1522452589
09/16/2013 00:00:00,1531550867
09/17/2013 00:00:00,1541410166
09/18/2013 00:00:00,1541874302
09/19/2013 00:00:00,1510095777
09/20/2013 00:00:00,1495377493
09/21/2013 00:00:00,1500433375
09/22/2013 00:00:00,1497075328
09/23/2013 00:00:00,1491503995
09/24/2013 00:00:00,1505880304
09/25/2013 00:00:00,1500125034
09/26/2013 00:00:00,1520073337
09/27/2013 00:00:00,1541798557
09/28/2013 00:00:00,1532575284
09/29/2013 00:00:00,1540760610
09/30/2013 00:00:00,1534287669
10/01/2013 00:00:00,1551589450
10/02/2013 00:00:00,1264078272
10/03/2013 00:00:00,1433917528
10/04/2013 00:00:00,1483326513
10/05/2013 00:00:00,1476652577
10/06/2013 00:00:00,1489468639
10/07/2013 00:00:00,1504234012
10/08/2013 00:00:00,1509363905
10/09/2013 00:00:00,1528516008
10/10/2013 00:00:00,1540359381
10/11/2013 00:00:00,1546756881
10/12/2013 00:00:00,1555817222
10/13/2013 00:00:00,1617958499
10/14/2013 00:00:00,1646923606
10/15/2013 00:00:00,1742009591
10/16/2013 00:00:00,1670314100
10/17/2013 00:00:00,1746948674
10/18/2013 00:00:00,1856446461
10/19/2013 00:00:00,2012446043
10/20/2013 00:00:00,2020934100
10/21/2013 00:00:00,2181677250
10/22/2013 00:00:00,2305662352
10/23/2013 00:00:00,2474112351
10/24/2013 00:00:00,2352819269
10/25/2013 00:00:00,2275478096
10/26/2013 00:00:00,2187042275
10/27/2013 00:00:00,2375994929
10/28/2013 00:00:00,2387191836
10/29/2013 00:00:00,2486491948
10/30/2013 00:00:00,2412752769
10/31/2013 00:00:00,2475900579
11/01/2013 00:00:00,2467783101
11/02/2013 00:00:00,2505607367
11/03/2013 00:00:00,2591586720
