,l0,l1,outlier_cutoff,pca_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2
476,20,100,2.0,na,2331,0.9,11115,0.86
477,20,100,2.5,na,5089,0.8,9594,0.87
478,20,100,3.0,na,7386,0.86,7858,0.85
479,20,100,3.5,na,7292,0.85,7980,0.85
480,40,20,1.0,na,2721,0.8,13486,0.83
481,40,20,1.5,na,2486,0.94,10590,0.84
482,40,20,2.0,na,2547,0.89,12128,0.85
483,40,20,2.5,na,5676,0.79,9818,0.84
484,40,20,3.0,na,8739,0.85,8770,0.82
485,40,20,3.5,na,8359,0.83,8198,0.85
486,40,40,1.0,na,2418,0.85,14235,0.83
487,40,40,1.5,na,2133,0.94,8256,0.81
488,40,40,2.0,na,2503,0.88,7944,0.79
489,40,40,2.5,na,5397,0.81,8326,0.81
490,40,40,3.0,na,8002,0.85,7532,0.85
